score,item_id,media_id,item_title,item_date,item_creator,item_url,pdf_url,local_pdf,text_path,page_index,candidate_text_from_extraction_not_final,context_before,context_after,categories,matched_terms,extraction_quality_proxy,clearance_status,verification_status,attribution_mode
145,857,1464,"March 16, 1938","March 16, 1938",primary_chekhov_transcription: by Michael Chekhov; transcribed by Deirdre Hurst du Prey,https://collections.uwindsor.ca/chekhov/item/857,https://collections.uwindsor.ca/files/original/f86af6b8855ca611ef7a1751e13b83503409b655.pdf,pdf_cache/item_857_march-16-1938.pdf,extracted_text_all/item_857_march-16-1938.txt,3,"I went to call your attention to the following: when you have done this movement with the feeling of the whole, certain interpretation was there which came from the condition that we are psychologically embracing the whole. Now, I will give you another condition, and you will see that interpretation inevitably comes through this rhythmical chansing. will you new experience the second thing - the beginning and the end, and the middle part which binds the bo-» ginning and tho and. or as we call the first part. the last part, and the second part.",Then we shall take other conditions.,The whole. in which is the first part. the transitional part. and the third part - quite definitely the beginning. transition. the end.,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,attention;beginning;end;feeling;first;middle;whole;will,0.886,internal_candidate_only__not_publicly_cleared,needs_visual_verification,"lesson/transcription/UWindsor attribution approved by Dawson, exact source context still required"
144,680,1259,"March 16, 1937 (afternoon)","March 16, 1937",primary_chekhov_transcription: by Michael Chekhov; transcribed by Deirdre Hurst du Prey,https://collections.uwindsor.ca/chekhov/item/680,https://collections.uwindsor.ca/files/original/94450b2ff459e4301f61eb3f0162a520266af770.pdf,pdf_cache/item_680_march-16-1937-afternoon.pdf,extracted_text_all/item_680_march-16-1937-afternoon.txt,12,"This was lacking in Paul's appearance, but this is the question of a very fine composition in the soul of the actor. and the director's task in to combine the elements of the beginning. sn that they will be absolutely opposite to the end. iho psychological gesture of the and must be done. as well as the psychological gesture of the beginning. let us take another case. when Beatrice. as Jew} has received the inupiration. lho young actor in not always able to hide his or her personal things which are not quite right for the moment.","1 must not only know the end of my part, I must act the beginning period. showing the end in an opposite direction.","For examplo. when Joan was awakening she began to smile - this made her weak. nhon she is not sure of herself and what she is doing. she begins to smile, but this smile is like a red light which tells the director she needs help.",actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,beginning;composition;director;director's;end;gesture;moment;psychological gesture;soul;will,0.890,internal_candidate_only__not_publicly_cleared,needs_visual_verification,"lesson/transcription/UWindsor attribution approved by Dawson, exact source context still required"
140,837,1444,"February 25, 1938","February 25, 1938",primary_chekhov_transcription: by Michael Chekhov; transcribed by Deirdre Hurst du Prey,https://collections.uwindsor.ca/chekhov/item/837,https://collections.uwindsor.ca/files/original/fea15c939be1bd99d817c7738fb3594c323949bc.pdf,pdf_cache/item_837_february-25-1938.pdf,extracted_text_all/item_837_february-25-1938.txt,1,"OF THE IIHOLEI The beginning and the end. the feeling of the whole. must be experienced by our whole being in the same may as the objective. psychological gesture, etc. Between the beginning and the end, the life floweWe must feel everything that is going on between the beginning end the",BEGINNING AND THE END - FEELING.,,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,beginning;end;feeling;gesture;life;objective;psychological gesture;whole,0.887,internal_candidate_only__not_publicly_cleared,needs_visual_verification,"lesson/transcription/UWindsor attribution approved by Dawson, exact source context still required"
140,699,1278,"May 4, 1937","May 4, 1937",primary_chekhov_transcription: by Michael Chekhov; transcribed by Deirdre Hurst du Prey,https://collections.uwindsor.ca/chekhov/item/699,https://collections.uwindsor.ca/files/original/14ec99b98b77cabfa63b47e84ef62234cf3a37db.pdf,pdf_cache/item_699_may-4-1937.pdf,extracted_text_all/item_699_may-4-1937.txt,5,"1, Chekhov iay , 1937 his feeling of the whole will cive them in lime the feelin, for each detail which will Bbe in a certain place, because they feel the whole more or less and what detail must be where, and what ind of detail. Then I would proceed to part of the scene and rahcarse the beginning and the end, first with the gesture, then from the point of view of the objective, or atmesphere, etc., but some point of view must be siven, Then 1 would take a part of the scene — for example, the Smint and Salladina, and lot them act from different points of view, ihen you will come more and more to det@ils.",,This is one very right way.,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,beginning;end;feeling;first;gesture;objective;scene;whole;will,0.893,internal_candidate_only__not_publicly_cleared,needs_visual_verification,"lesson/transcription/UWindsor attribution approved by Dawson, exact source context still required"
139,847,1454,"March 8, 1938","March 8, 1938",primary_chekhov_transcription: by Michael Chekhov; transcribed by Deirdre Hurst du Prey,https://collections.uwindsor.ca/chekhov/item/847,https://collections.uwindsor.ca/files/original/e7d15e203590b850ac4fd6f48e5041b534502d9e.pdf,pdf_cache/item_847_march-8-1938.pdf,extracted_text_all/item_847_march-8-1938.txt,1,"We will only take into consideration rhythm in general, only as a feeling of the whole, with the beginning. the middle and the end, and you will do this by moving one hand.",1938 RHYTHM - FEELING OF THE WHOLE RHYTHMICAL INTERPRETATION TEUPO PSYCHOLOGICAL GESEURE INSPIRATION‘ E ng Lear RHYTHM - FEELING OF THE WHOLE: We will do rhythmical exercises which will help you to hring rhythm into the plays.,"Be very conscious about this — the beginning, the middle part, and the and.",actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,beginning;end;feeling;middle;rhythm;whole;will,0.889,internal_candidate_only__not_publicly_cleared,needs_visual_verification,"lesson/transcription/UWindsor attribution approved by Dawson, exact source context still required"
139,847,1454,"March 8, 1938","March 8, 1938",primary_chekhov_transcription: by Michael Chekhov; transcribed by Deirdre Hurst du Prey,https://collections.uwindsor.ca/chekhov/item/847,https://collections.uwindsor.ca/files/original/e7d15e203590b850ac4fd6f48e5041b534502d9e.pdf,pdf_cache/item_847_march-8-1938.pdf,extracted_text_all/item_847_march-8-1938.txt,1,"We will only take into consideration rhythm in general, only as a feeling of the whole, with the beginning. the middle and the end, and you will do this by moving one hand. Be very conscious about this — the beginning, the middle part, and the and.",1938 RHYTHM - FEELING OF THE WHOLE RHYTHMICAL INTERPRETATION TEUPO PSYCHOLOGICAL GESEURE INSPIRATION‘ E ng Lear RHYTHM - FEELING OF THE WHOLE: We will do rhythmical exercises which will help you to hring rhythm into the plays.,Get satiafaction from it — use your whole body by moving one hand - let your whole body be hapey by moving one hand.,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,beginning;end;feeling;middle;rhythm;whole;will,0.889,internal_candidate_only__not_publicly_cleared,needs_visual_verification,"lesson/transcription/UWindsor attribution approved by Dawson, exact source context still required"
138,1077,1708,"December 1, 1941: Michael Chekhov's eighth class for professional actors: The role of the director","December 1, 1941",primary_chekhov_transcription: by Michael Chekhov; transcribed by Deirdre Hurst du Prey,https://collections.uwindsor.ca/chekhov/item/1077,https://collections.uwindsor.ca/files/original/9581e17a7a3a183d104d790c4db9c387d28fe2a8.pdf,pdf_cache/item_1077_december-1-1941-michael-chekhov-s-eighth-class-for-professional-actors-the-role-of-the-dir.pdf,extracted_text_all/item_1077_december-1-1941-michael-chekhov-s-eighth-class-for-professional-actors-the-role-of-the-dir.txt,4,"Secondly. the simple action, and the simple quality will appeal to our utmost inner life, as wo are not touching our feelings first. we are not tearing our soul to pieces to find our feclings,iwhich cannot be found in that way. When the actor cannot find his feelings — for instance, tender love for a child - if he tells the director that ho has never had a child. the director can answer him that everyone can give the quality of tenderness and love to his actions.",But really prepared. and not empty clichés which are always following us.,"Simultaneously we tako the action of moving the chair with the quality of ""care?.",actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,action;cannot;director;feelings;first;life;love;quality;soul;will,0.887,internal_candidate_only__not_publicly_cleared,needs_visual_verification,"lesson/transcription/UWindsor attribution approved by Dawson, exact source context still required"
138,837,1444,"February 25, 1938","February 25, 1938",primary_chekhov_transcription: by Michael Chekhov; transcribed by Deirdre Hurst du Prey,https://collections.uwindsor.ca/chekhov/item/837,https://collections.uwindsor.ca/files/original/fea15c939be1bd99d817c7738fb3594c323949bc.pdf,pdf_cache/item_837_february-25-1938.pdf,extracted_text_all/item_837_february-25-1938.txt,1,"The illusion of the whole is there but the real experience of the whole - the beginning and the end - is not. We must know that there are two feelings of the whole - one is the intellectual which we cannot apply to our art at all, and the other is that which feeds and lends’our whole nature.","Michael Chekhov February 25, 1938 RHYTHM \ RHYTHMICAL EVENTS BEGINNING AND END —- FEELING OF THE ”HOLE BRIDGES AND TRANSITION P THIGICAL COIv‘POSITION PERFORI-‘ANCE AFTER CURTAIN IS DOWN King Lear Leo Tolstoy RI'IYTHHI Riﬂl'l‘llf .1 CAL EVE-ITS I I have noticed with some of our etudents that the feeling of the beginning and the end, which is at the same time the feeling of the whole. was done sometimes intellectually.",It is the yhglg nature which participates in this rhythmical thing.,actor_struggle;daily_inspiration;directing_academic_footnote,art;beginning;cannot;end;feelings;intellectual;whole,0.887,internal_candidate_only__not_publicly_cleared,needs_visual_verification,"lesson/transcription/UWindsor attribution approved by Dawson, exact source context still required"
137,663,1222,"February 3, 1937","February 3, 1937",primary_chekhov_transcription: by Michael Chekhov; transcribed by Deirdre Hurst du Prey,https://collections.uwindsor.ca/chekhov/item/663,https://collections.uwindsor.ca/files/original/7746e3355a480c0b4cf1c2a7eb5c862436b9c7d9.pdf,pdf_cache/item_663_february-3-1937.pdf,extracted_text_all/item_663_february-3-1937.txt,5,These thrce points are the moments which will lead us through the whole play. tur play begins with a certain silence and ends with a silence. and between these two silences lies the whole play. Low we must try to find some technical mise en sccnc for the beginning and the end; as a frame.,"Chekhov february 3, 1937 AFTER TH?) CURTAIN IS TJOWN: 1hr: ’Enldon Stanly There are three mogcnts which we will later call climaxes.",Ihe silences occur before the curtain gees up. and after the curtain 500: dOWn.,actor_struggle;daily_inspiration;directing_academic_footnote,beginning;end;mise;moments;play;whole;will,0.892,internal_candidate_only__not_publicly_cleared,needs_visual_verification,"lesson/transcription/UWindsor attribution approved by Dawson, exact source context still required"
137,746,1324,"July 18, 1937","July 18, 1937",primary_chekhov_transcription: by Michael Chekhov; transcribed by Deirdre Hurst du Prey,https://collections.uwindsor.ca/chekhov/item/746,https://collections.uwindsor.ca/files/original/896112414dc92ea9e1ea802c9b3b228f984efcba.pdf,pdf_cache/item_746_july-18-1937.pdf,extracted_text_all/item_746_july-18-1937.txt,36,0n the other hand. the ending of the Two Kinza is weak and leaves the audience without any Idea of that it has been all about. l‘wo Kim's: The director should try to find a new psychological gesture for the whole play. one that would give the actors an idea or the whole play.,The ending in Bnllndina II is a very good line; it should be elaborated and made more clear.,The Golden Steed: If the director continues along the Home line. he nuet find the connection between the setting. the text. the costumes. the characters. etc.,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,audience;director;gesture;play;psychological gesture;weak;whole,0.887,internal_candidate_only__not_publicly_cleared,needs_visual_verification,"lesson/transcription/UWindsor attribution approved by Dawson, exact source context still required"
